URS;REQUISITANTE;NFM;FABRICANTE;VACINA;DATA;MOV;LOTE;VALIDADE; QUANTIDADE ; VALOR 
ALFENAS;Requisitante: GERENCIA REGIONAL DE SAUDE DE ALFENAS/MG;9037971;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010031;21/10/2023; 6.000 ; 349.200 
ALFENAS;Requisitante: GERENCIA REGIONAL DE SAUDE DE ALFENAS/MG;9086027;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 2.440 ; 142.008 
ALFENAS;Requisitante: GERENCIA REGIONAL DE SAUDE DE ALFENAS/MG;10465356;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 1.920 ; 111.744 
BARBACENA;Requisitante: GERENCIA REGIONAL DE SAUDE DE BARBACENA/MG;9037974;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010038;27/10/2023; 13.840 ; 805.488 
BARBACENA;Requisitante: GERENCIA REGIONAL DE SAUDE DE BARBACENA/MG;9086037;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 1.480 ; 86.136 
BARBACENA;Requisitante: GERENCIA REGIONAL DE SAUDE DE BARBACENA/MG;10465393;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 1.900 ; 110.580 
BELO HORIZONTE;Requisitante: GERENCIA REGIONAL DE SAUDE DE BELO HORIZONTE/MG;9038198;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010038;27/10/2023; 42.360 ; 2.465.352 
BELO HORIZONTE;Requisitante: GERENCIA REGIONAL DE SAUDE DE BELO HORIZONTE/MG;9086830;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 11.280 ; 656.496 
BELO HORIZONTE;Requisitante: GERENCIA REGIONAL DE SAUDE DE BELO HORIZONTE/MG;9221575;FUNDACAO BUTANTAN;CORONAVAC;22/02/2021;14;202010038;27/10/2023; 70 ; 4.074 
BELO HORIZONTE;Requisitante: GERENCIA REGIONAL DE SAUDE DE BELO HORIZONTE/MG;9303720;FUNDACAO BUTANTAN;CORONAVAC;05/03/2021;14;202010038;27/10/2023; 48 ; 2.794 
BELO HORIZONTE;Requisitante: GERENCIA REGIONAL DE SAUDE DE BELO HORIZONTE/MG;9344057;FUNDACAO BUTANTAN;CORONAVAC;11/03/2021;14;202010038;27/10/2023; 24 ; 1.397 
BELO HORIZONTE;Requisitante: GERENCIA REGIONAL DE SAUDE DE BELO HORIZONTE/MG;10464481;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 11.940 ; 694.908 
CORONEL FABRICIANO;Requisitante: GERENCIA REGIONAL DE SAUDE DE CORONEL FABRICIANO/MG;9038036;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010038;27/10/2023; 17.200 ; 1.001.040 
CORONEL FABRICIANO;Requisitante: GERENCIA REGIONAL DE SAUDE DE CORONEL FABRICIANO/MG;9086048;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 2.600 ; 151.320 
CORONEL FABRICIANO;Requisitante: GERENCIA REGIONAL DE SAUDE DE CORONEL FABRICIANO/MG;10465626;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 2.940 ; 171.108 
DIAMANTINA;Requisitante: GERENCIA REGIONAL DE SAUDE DE DIAMANTINA/MG;9038106;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010031;21/10/2023; 6.320 ; 367.824 
DIAMANTINA;Requisitante: GERENCIA REGIONAL DE SAUDE DE DIAMANTINA/MG;9086059;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 1.480 ; 86.136 
DIAMANTINA;Requisitante: GERENCIA REGIONAL DE SAUDE DE DIAMANTINA/MG;9303710;FUNDACAO BUTANTAN;CORONAVAC;05/03/2021;14;202010038;27/10/2023; 20 ; 1.164 
DIAMANTINA;Requisitante: GERENCIA REGIONAL DE SAUDE DE DIAMANTINA/MG;10465850;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 1.680 ; 97.776 
DIVINOPOLIS;Requisitante: GERENCIA REGIONAL DE SAUDE DE DIVINOPOLIS/MG;9038601;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010038;27/10/2023; 19.960 ; 1.161.672 
DIVINOPOLIS;Requisitante: GERENCIA REGIONAL DE SAUDE DE DIVINOPOLIS/MG;9038601;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202009013;28/09/2023; 1.360 ; 79.152 
DIVINOPOLIS;Requisitante: GERENCIA REGIONAL DE SAUDE DE DIVINOPOLIS/MG;9086093;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 5.000 ; 291.000 
DIVINOPOLIS;Requisitante: GERENCIA REGIONAL DE SAUDE DE DIVINOPOLIS/MG;9214915;FUNDACAO BUTANTAN;CORONAVAC;19/02/2021;14;202010038;27/10/2023; 10 ; 582 
DIVINOPOLIS;Requisitante: GERENCIA REGIONAL DE SAUDE DE DIVINOPOLIS/MG;9251751;FUNDACAO BUTANTAN;CORONAVAC;26/02/2021;14;202010038;27/10/2023; 15 ; 873 
DIVINOPOLIS;Requisitante: GERENCIA REGIONAL DE SAUDE DE DIVINOPOLIS/MG;10465881;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 5.480 ; 318.936 
GOVERNADOR VALADARES;Requisitante: GERENCIA REGIONAL DE SAUDE DE GOVERNADOR VALADARES/MG;9038033;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010038;27/10/2023; 11.360 ; 661.152 
GOVERNADOR VALADARES;Requisitante: GERENCIA REGIONAL DE SAUDE DE GOVERNADOR VALADARES/MG;9086109;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 2.120 ; 123.384 
GOVERNADOR VALADARES;Requisitante: GERENCIA REGIONAL DE SAUDE DE GOVERNADOR VALADARES/MG;9165984;FUNDACAO BUTANTAN;CORONAVAC;10/02/2021;14;202010038;27/10/2023; 158 ; 9.196 
GOVERNADOR VALADARES;Requisitante: GERENCIA REGIONAL DE SAUDE DE GOVERNADOR VALADARES/MG;9344105;FUNDACAO BUTANTAN;CORONAVAC;11/03/2021;14;202010038;27/10/2023; 20 ; 1.164 
GOVERNADOR VALADARES;Requisitante: GERENCIA REGIONAL DE SAUDE DE GOVERNADOR VALADARES/MG;10466142;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 2.740 ; 159.468 
ITABIRA;Requisitante: GERENCIA REGIONAL DE SAUDE DE ITABIRA/MG;9038107;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010031;21/10/2023; 8.920 ; 519.144 
ITABIRA;Requisitante: GERENCIA REGIONAL DE SAUDE DE ITABIRA/MG;9086123;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 4.200 ; 244.440 
ITABIRA;Requisitante: GERENCIA REGIONAL DE SAUDE DE ITABIRA/MG;9303713;FUNDACAO BUTANTAN;CORONAVAC;05/03/2021;14;202010038;27/10/2023; 40 ; 2.328 
ITABIRA;Requisitante: GERENCIA REGIONAL DE SAUDE DE ITABIRA/MG;10466161;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 1.800 ; 104.760 
ITUIUTABA;Requisitante: GERENCIA REGIONAL DE SAUDE DE ITUIUTABA/MG;9037990;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010038;27/10/2023; 3.360 ; 195.552 
ITUIUTABA;Requisitante: GERENCIA REGIONAL DE SAUDE DE ITUIUTABA/MG;9086154;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 560 ; 32.592 
ITUIUTABA;Requisitante: GERENCIA REGIONAL DE SAUDE DE ITUIUTABA/MG;10466166;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 840 ; 48.888 
JANUARIA;Requisitante: GERENCIA REGIONAL DE SAUDE DE JANUARIA/MG;9037999;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010031;21/10/2023; 14.080 ; 819.456 
JANUARIA;Requisitante: GERENCIA REGIONAL DE SAUDE DE JANUARIA/MG;9086168;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 1.800 ; 104.760 
JANUARIA;Requisitante: GERENCIA REGIONAL DE SAUDE DE JANUARIA/MG;9303717;FUNDACAO BUTANTAN;CORONAVAC;05/03/2021;14;202010038;27/10/2023; 6 ; 349 
JANUARIA;Requisitante: GERENCIA REGIONAL DE SAUDE DE JANUARIA/MG;10465981;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 960 ; 55.872 
JUIZ DE FORA;Requisitante: GERENCIA REGIONAL DE SAUDE DE JUIZ DE FORA/MG;9038103;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010038;27/10/2023; 33.800 ; 1.967.160 
JUIZ DE FORA;Requisitante: GERENCIA REGIONAL DE SAUDE DE JUIZ DE FORA/MG;9086194;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 2.520 ; 146.664 
JUIZ DE FORA;Requisitante: GERENCIA REGIONAL DE SAUDE DE JUIZ DE FORA/MG;10466008;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 3.000 ; 174.600 
LEOPOLDINA;Requisitante: GERENCIA REGIONAL DE SAUDE DE LEOPOLDINA/MG;9038178;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010031;21/10/2023; 3.960 ; 230.472 
LEOPOLDINA;Requisitante: GERENCIA REGIONAL DE SAUDE DE LEOPOLDINA/MG;9086202;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 840 ; 48.888 
LEOPOLDINA;Requisitante: GERENCIA REGIONAL DE SAUDE DE LEOPOLDINA/MG;9344146;FUNDACAO BUTANTAN;CORONAVAC;11/03/2021;14;202010038;27/10/2023; 20 ; 1.164 
LEOPOLDINA;Requisitante: GERENCIA REGIONAL DE SAUDE DE LEOPOLDINA/MG;10465779;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 1.000 ; 58.200 
